"Date","Price","Open","High","Low","Vol.","Change %"
"12/18/2023","4.4730","4.4710","4.5195","4.4275","","0.29%"
"12/15/2023","4.4600","4.5195","4.6405","4.3905","","-1.06%"
"12/14/2023","4.5080","4.5225","4.5745","4.4430","","-0.07%"
"12/13/2023","4.5110","4.4690","4.5525","4.4550","","1.14%"
"12/12/2023","4.4600","4.4355","4.5080","4.4185","","0.55%"
"12/11/2023","4.4355","4.3760","4.4945","4.3730","","1.62%"
"12/08/2023","4.3650","4.3650","4.4575","4.3590","","0.62%"
"12/07/2023","4.3380","4.3395","4.3915","4.3080","","0.49%"
"12/06/2023","4.3170","4.4665","4.5345","4.2985","","-3.10%"
"12/05/2023","4.4550","4.4040","4.5065","4.3405","","1.39%"
"12/04/2023","4.3940","4.4165","4.4685","4.3840","","-0.25%"
"12/01/2023","4.4050","4.4750","4.5460","4.4135","","-1.32%"
"11/30/2023","4.4640","4.5375","4.5810","4.4500","","-1.37%"
"11/29/2023","4.5260","4.5265","4.5810","4.4815","","0.24%"
"11/28/2023","4.5150","4.5165","4.5700","4.4755","","0.22%"
"11/27/2023","4.5050","4.5035","4.5700","4.4995","","0.29%"
"11/24/2023","4.4920","4.5445","4.5715","4.4530","","-0.88%"
"11/23/2023","4.5320","4.5525","4.6190","4.4860","","-0.20%"
"11/22/2023","4.5410","4.5615","4.6005","4.5360","","-0.20%"
"11/21/2023","4.5500","4.5415","4.6360","4.5220","","0.44%"
"11/20/2023","4.5300","4.4845","4.6430","4.4600","","1.27%"
"11/17/2023","4.4730","4.5075","4.5740","4.4340","","-0.51%"
"11/16/2023","4.4960","4.5045","4.5685","4.4765","","0.07%"
"11/15/2023","4.4930","4.4540","4.5690","4.4040","","1.13%"
"11/14/2023","4.4430","4.3915","4.4790","4.3765","","1.60%"
"11/13/2023","4.3730","4.3630","4.4210","4.3470","","0.48%"
"11/10/2023","4.3520","4.3925","4.4135","4.3520","","-0.66%"
"11/09/2023","4.3810","4.3820","4.4030","4.3435","","0.23%"
"11/08/2023","4.3710","4.3720","4.4070","4.3425","","0.23%"
"11/07/2023","4.3610","4.3430","4.4135","4.3145","","0.67%"
"11/06/2023","4.3320","4.3320","4.3840","4.3205","","0.25%"
"11/03/2023","4.3210","4.3140","4.3805","4.2770","","0.42%"
"11/02/2023","4.3030","4.3450","4.3765","4.2740","","-0.72%"
"11/01/2023","4.3340","4.3180","4.3870","4.2930","","0.91%"
"10/31/2023","4.2950","4.3460","4.3985","4.2850","","-0.92%"
"10/30/2023","4.3350","4.2735","4.3555","4.2625","","1.69%"
"10/27/2023","4.2630","4.2980","4.3920","4.2035","","-0.56%"
"10/26/2023","4.2870","4.2810","4.3415","4.2355","","0.40%"
"10/25/2023","4.2700","4.3040","4.3495","4.2425","","-0.54%"
"10/24/2023","4.2930","4.2560","4.3585","4.2425","","1.13%"
"10/23/2023","4.2450","4.2060","4.2940","4.1775","","1.19%"
"10/20/2023","4.1950","4.1780","4.2320","4.1300","","0.31%"
"10/19/2023","4.1820","4.0940","4.1945","4.0720","","2.40%"
"10/18/2023","4.0840","4.0955","4.1670","4.0820","","-0.07%"
"10/17/2023","4.0870","4.1185","4.1445","4.0880","","-0.51%"
"10/16/2023","4.1080","4.1165","4.1590","4.0975","","0.05%"
"10/13/2023","4.1060","4.0695","4.1685","4.0460","","1.16%"
"10/12/2023","4.0590","3.9330","4.1485","3.9330","","3.20%"
"10/11/2023","3.9330","3.9630","4.0575","3.9150","","-0.51%"
"10/10/2023","3.9530","4.0620","4.1300","3.9605","","-2.68%"
"10/09/2023","4.0620","4.0610","4.1445","3.9370","","0.27%"
"10/06/2023","4.0510","4.1805","4.2990","4.0330","","-3.10%"
"10/05/2023","4.1805","4.3090","4.3615","4.1805","","-2.79%"
"10/04/2023","4.3005","4.1310","4.3480","4.0945","","2.11%"
"10/03/2023","4.2115","4.1190","4.2615","4.0165","","2.25%"
"10/02/2023","4.1190","4.0150","4.1320","3.9055","","1.84%"
"09/29/2023","4.0445","4.0480","4.1475","3.9770","","-0.16%"
"09/28/2023","4.0510","4.0035","4.0845","3.9660","","1.19%"
"09/27/2023","4.0035","4.0135","4.1120","3.9695","","-0.27%"
"09/26/2023","4.0145","4.0830","4.0860","3.9425","","-1.41%"
"09/25/2023","4.0720","4.0220","4.0970","3.9760","","1.24%"
"09/22/2023","4.0220","4.0590","4.0845","3.9640","","-0.91%"
"09/21/2023","4.0590","4.0235","4.0925","3.9730","","1.15%"
"09/20/2023","4.0130","4.0230","4.0605","3.9425","","-0.25%"
"09/19/2023","4.0230","4.0210","4.0685","3.9250","","0.32%"
"09/18/2023","4.0100","3.9915","4.0635","3.9120","","0.46%"
"09/15/2023","3.9915","4.0155","4.0595","3.9295","","-0.62%"
"09/14/2023","4.0165","4.0140","4.0620","3.9580","","0.31%"
"09/13/2023","4.0040","4.0195","4.1580","3.9170","","-0.12%"
"09/12/2023","4.0090","4.0625","4.1950","3.9545","","-1.32%"
"09/11/2023","4.0625","3.9455","4.0775","3.9315","","2.97%"
"09/08/2023","3.9455","3.9160","3.9905","3.8935","","0.75%"
"09/07/2023","3.9160","3.9220","3.9955","3.8840","","-0.15%"
"09/06/2023","3.9220","3.9870","4.0045","3.8900","","-1.18%"
"09/05/2023","3.9690","3.9835","4.0305","3.9150","","-0.10%"
"09/04/2023","3.9730","4.0025","4.0415","3.9555","","-0.48%"
"09/01/2023","3.9920","4.0245","4.0690","3.9690","","-0.81%"
"08/31/2023","4.0245","4.0090","4.0780","3.9680","","0.51%"
"08/30/2023","4.0040","4.0465","4.0665","3.9560","","-0.79%"
"08/29/2023","4.0360","4.0845","4.1745","3.9630","","-0.93%"
"08/28/2023","4.0740","4.0420","4.1175","4.0035","","0.54%"
"08/25/2023","4.0520","4.0850","4.1915","3.9615","","-0.81%"
"08/24/2023","4.0850","4.1150","4.2060","3.9930","","-0.46%"
"08/23/2023","4.1040","4.0830","4.2225","4.0290","","0.51%"
"08/22/2023","4.0830","4.1300","4.1710","4.0515","","-0.58%"
"08/21/2023","4.1070","4.0565","4.1955","4.0110","","1.24%"
"08/18/2023","4.0565","4.0875","4.2555","3.9930","","-0.76%"
