"Date","Price","Open","High","Low","Vol.","Change %"
"06/26/2023","56.29","55.85","58.22","55.76","","0.80%"
"06/23/2023","55.85","54.72","57.61","54.31","","2.11%"
"06/22/2023","54.70","56.84","57.30","54.65","","-3.79%"
"06/21/2023","56.85","56.87","58.15","56.27","","-0.05%"
"06/20/2023","56.88","57.44","57.82","56.35","","-0.94%"
"06/19/2023","57.43","57.46","58.36","56.70","","0.06%"
"06/16/2023","57.39","57.48","58.29","56.92","","-0.14%"
"06/15/2023","57.47","57.08","57.95","56.22","","0.72%"
"06/14/2023","57.06","56.81","58.16","55.36","","0.45%"
"06/13/2023","56.81","56.60","57.46","55.66","","0.34%"
"06/12/2023","56.61","55.79","56.98","55.10","","1.56%"
"06/09/2023","55.75","55.08","56.15","54.73","","1.24%"
"06/08/2023","55.06","54.26","55.91","53.48","","1.50%"
"06/07/2023","54.25","54.28","55.24","53.59","","-0.04%"
"06/06/2023","54.27","53.34","54.80","52.87","","1.75%"
"06/05/2023","53.34","53.41","54.42","52.74","","-0.14%"
"06/02/2023","53.41","53.22","54.32","52.51","","0.38%"
"06/01/2023","53.21","53.03","53.88","52.04","","0.40%"
"05/31/2023","53.00","48.98","53.33","48.79","","8.19%"
"05/30/2023","48.99","52.48","53.55","48.89","","-6.63%"
"05/29/2023","52.47","51.63","54.82","50.95","","1.92%"
"05/26/2023","51.48","52.07","53.19","51.16","","-1.11%"
"05/25/2023","52.06","52.46","52.88","51.47","","-0.82%"
"05/24/2023","52.49","52.99","53.40","51.69","","-0.91%"
"05/23/2023","52.97","53.56","53.86","52.45","","-1.09%"
"05/22/2023","53.55","53.30","53.87","52.29","","0.52%"
"05/19/2023","53.27","53.24","54.42","52.50","","0.14%"
"05/18/2023","53.20","53.48","53.92","52.54","","-0.51%"
"05/17/2023","53.47","53.57","54.28","52.93","","-0.20%"
"05/16/2023","53.57","53.45","54.29","52.29","","0.27%"
"05/15/2023","53.43","51.41","53.89","51.19","","3.91%"
"05/12/2023","51.42","51.61","52.68","50.80","","-0.34%"
"05/11/2023","51.59","51.60","53.02","50.25","","0.03%"
"05/10/2023","51.58","52.54","53.51","51.00","","-1.79%"
"05/09/2023","52.52","52.72","53.76","51.89","","-0.36%"
"05/08/2023","52.71","52.51","53.95","51.56","","0.35%"
"05/05/2023","52.53","52.56","53.31","50.97","","-0.02%"
"05/04/2023","52.54","53.02","53.50","51.25","","-0.92%"
"05/03/2023","53.03","53.38","53.74","51.77","","-0.67%"
"05/02/2023","53.38","53.54","54.33","52.73","","-0.24%"
"05/01/2023","53.51","53.17","53.60","52.34","","0.53%"
"04/28/2023","53.23","54.09","54.64","51.58","","-1.61%"
"04/27/2023","54.10","54.19","54.75","53.40","","-0.16%"
"04/26/2023","54.18","54.15","55.32","53.48","","0.09%"
"04/25/2023","54.13","54.56","54.96","53.17","","-0.81%"
"04/24/2023","54.58","54.56","56.39","53.84","","0.15%"
"04/21/2023","54.50","55.14","55.55","54.05","","-1.17%"
"04/20/2023","55.14","54.84","55.47","54.35","","0.56%"
"04/19/2023","54.83","55.00","55.67","53.98","","-0.31%"
"04/18/2023","55.00","54.86","55.63","54.01","","0.25%"
"04/17/2023","54.87","54.69","55.74","54.12","","0.29%"
"04/14/2023","54.71","55.40","55.81","54.40","","-1.21%"
"04/13/2023","55.38","55.00","55.91","53.99","","0.70%"
"04/12/2023","55.00","53.95","55.76","53.79","","1.94%"
"04/11/2023","53.95","54.21","55.42","53.63","","-0.44%"
"04/10/2023","54.19","53.98","55.24","53.60","","0.19%"
"04/07/2023","54.09","54.18","55.92","53.73","","-0.17%"
"04/06/2023","54.18","53.89","54.99","53.12","","0.54%"
