"Date","Price","Open","High","Low","Vol.","Change %"
"09/11/2023","1.6708","1.6742","1.6805","1.6638","","-0.40%"
"09/08/2023","1.6775","1.6774","1.6817","1.6711","","0.00%"
"09/07/2023","1.6775","1.6819","1.6854","1.6726","","-0.15%"
"09/06/2023","1.6800","1.6816","1.6857","1.6757","","-0.05%"
"09/05/2023","1.6808","1.6715","1.6899","1.6694","","0.62%"
"09/04/2023","1.6704","1.6704","1.6738","1.6646","","0.07%"
"09/01/2023","1.6692","1.6728","1.6812","1.6671","","-0.15%"
"08/31/2023","1.6717","1.6873","1.6890","1.6717","","-0.87%"
"08/30/2023","1.6863","1.6788","1.6877","1.6753","","0.50%"
"08/29/2023","1.6779","1.6819","1.6859","1.6747","","-0.26%"
"08/28/2023","1.6823","1.6854","1.6889","1.6783","","-0.28%"
"08/25/2023","1.6870","1.6846","1.6891","1.6770","","0.20%"
"08/24/2023","1.6836","1.6772","1.6859","1.6750","","0.44%"
"08/23/2023","1.6763","1.6892","1.6908","1.6755","","-0.71%"
"08/22/2023","1.6883","1.6989","1.7025","1.6861","","-0.57%"
"08/21/2023","1.6980","1.6960","1.7044","1.6946","","0.08%"
"08/18/2023","1.6966","1.6977","1.7019","1.6937","","-0.04%"
"08/17/2023","1.6973","1.6936","1.7069","1.6911","","0.25%"
"08/16/2023","1.6930","1.6897","1.6959","1.6859","","0.24%"
"08/15/2023","1.6890","1.6813","1.6917","1.6737","","0.50%"
"08/14/2023","1.6806","1.6835","1.6935","1.6793","","-0.18%"
"08/11/2023","1.6837","1.6847","1.6888","1.6819","","-0.04%"
"08/10/2023","1.6844","1.6812","1.6859","1.6710","","0.22%"
"08/09/2023","1.6807","1.6742","1.6842","1.6701","","0.42%"
"08/08/2023","1.6736","1.6739","1.6865","1.6723","","-0.02%"
"08/07/2023","1.6739","1.6761","1.6781","1.6682","","-0.08%"
"08/04/2023","1.6753","1.6703","1.6775","1.6633","","0.33%"
"08/03/2023","1.6698","1.6730","1.6771","1.6681","","-0.14%"
"08/02/2023","1.6722","1.6607","1.6737","1.6586","","0.74%"
"08/01/2023","1.6599","1.6362","1.6622","1.6352","","1.44%"
"07/31/2023","1.6363","1.6543","1.6585","1.6349","","-1.20%"
